"caseId","teamDomain","channelName","year","conversationId","utteranceCount","participantCount","questionLikeCount","requestCount","decisionCount","resolutionCount","humanRiskCount","operationalIncidentCount","refreshEligibleCount","containsCodeFence","containsUrl","preview"
"elmlang-beginners-2019-conv-1","elmlang","beginners","2019","1","6","3","1","1","0","0","0","0","0","false","true","Pattie: using `elm-bootstrap`, I’m having difficulty replicating <http://elm-bootstrap.info/table> if I look at that site with an iPhone device in chrome dev tools, the rows are pretty wide, but if I try and replicate it with what I feel is the same code, the "
"elmlang-beginners-2019-conv-5","elmlang","beginners","2019","5","33","8","4","1","0","0","0","0","1","true","true","Shaunna: I’m currently working on sites using airtable as a back end and gatsby up front. I’m ELM curious and just join my local ELM meetup in Eugene, OR Rina: Tailwind is so awesome :thumbsup: Rina: Its basically how I’ve always wanted to write css, so nice."
"elmlang-beginners-2019-conv-9","elmlang","beginners","2019","9","7","2","2","0","0","0","0","0","0","true","true","Gertrude: what is your input format? seconds as floating point number? Gertrude: I think something like this. `millisToPosix` requires integer milliseconds, so if your input is floating point seconds, first multiply by 1000 to get milliseconds, and then conver"
"clojurians-clojure-2019-conv-11","clojurians","clojure","2019","11","3","1","1","1","0","0","0","0","0","false","false","Otelia: This issue of keyword namespaces is very confusing to me. What advantage is there to making the keyword completely unique across, for example, the organization? In other words, what harm is there in using :user/email for the email column in two differe"
"clojurians-clojure-2019-conv-12","clojurians","clojure","2019","12","3","1","1","0","0","0","0","0","0","false","false","Sheron: wondering which is more intuitive for people to read, dispatching async work in future or async/thread , any opinions ? i don't really care for results that much but i need to dispatch a bunch of i/o bound threads and wait for all of them to finish She"
"clojurians-clojure-2019-conv-13","clojurians","clojure","2019","13","64","2","5","1","2","0","0","0","2","true","false","Stefany: I am doing some timeseries analytics with clojure, and I have noticed some strange performance issues in loading data. I load timeseries from CSV files (size 500KB each), and I find that slurping data in takes 10ms, and then the CSV parsing takes 100m"
"clojurians-clojure-2019-conv-15","clojurians","clojure","2019","15","14","4","2","2","0","0","0","1","2","true","false","Nannette: I really love Clojure and Clojure REPL is the most productive environment I have ever used. Now I encountered one puzzle with Clojure REPL that I can't figure out how to do it. I needed to create a couple of gen-classes for a Java API I'm using via C"
"clojurians-clojure-2019-conv-17","clojurians","clojure","2019","17","3","2","0","0","0","0","0","0","1","false","false","Britteny: went and upvoted the issue, since I happened to stumble on genclassing lately too Britteny: more upvotes might help :slightly_smiling_face: Nannette: I signed in to Clojure JIRA and upvoted as well. :slightly_smiling_face:"
"clojurians-clojure-2019-conv-18","clojurians","clojure","2019","18","19","4","5","1","0","1","0","1","4","false","true","Vita: could anyone provide some pointers on a macro I’m trying to write? I want a function or macro that I can call with a map of let bindings (symbols to values) and then execute some form in the body of that let. I have it working for some cases but not all."
"clojurians-clojure-2019-conv-20","clojurians","clojure","2019","20","22","3","3","0","1","0","0","1","5","false","true","Celestine: There is a lot of machinery in that stack trace beyond `clojure.test` and I see you're also using `respeced.test$successful_QMARK_.invokeStatic (test.cljc:104)` which seems to be what is actually leading to the error here... Celestine: Ouch! Celesti"
